Numero,Categoria,Testo domanda,Risposta A,Risposta B,Risposta C,Risposta D,Risposta corretta
16,Mare,Cosa caratterizza e accomuna le spiagge piatte e quelle fonde?,Il fondale antistante degrada uniformemente verso il largo senza grandi solchi o canali,"Il fondale antistante degrada eterogeneamente verso il largo, presentando grandi solchi o canali",La presenza di intense correnti di ritorno,La non pericolosità per i bagnanti,C
17,Mare,Da quale caratteristica del vento dipende lo stato del mare?,Dalla forza del vento,Dalla durata del vento,Dall’estensione del fetch,Tutte le precedenti sono caratteristiche del vento che influenzano lo stato del mare,D
18,Mare,In quale delle seguenti condizioni non dovrebbero essere utilizzati galleggianti?,In presenza di vento di terra,In presenza di correnti di ritorno,In acqua profonda,Tutte le precedenti sono condizioni che dovrebbero precludere l’utilizzo dei galleggiant,D
19,Mare,Quale delle seguenti indicazioni non è valida in caso di esposizione della bandiera per vento forte?,"Attenzione, pericolo",È vietato aprire gli ombrelloni,È possibile uscire in mare con imbarcazioni solo se si tratta di pedalò,È vietato noleggiare natanti,C
20,Mare,A quale profondità dell’acqua si trova il “limite di acque sicure”?,90 centimetri,"1,60 metri",2 metri,"Sia “A” che “B” sono risposte esatte, mentre “C” è errata",D
21,Mare,Cosa caratterizza il lato sopracorrente di un pennello che intercetti una corrente litoranea?,Una corrente di ritorno verso il largo,Una corrente diretta verso terra,Una zona di mare calmo,Una zona di mare molto mosso,D
22,Mare,Cosa può provocare l’effetto di contenimento prodotto da due pennelli paralleli in caso di onde che avanzano in direzione perpendicolare alla riva?,Due correnti sui lati dei pennelli dirette verso terra,Una corrente verso terra circa in mezzo ai pennelli,Una corrente di ritorno verso il largo posta circa in mezzo ai pennelli,"Sia “A” che “C” sono risposte esatte, mentre “B” è errata",D
23,Mare,In quali zone di una spiaggia protetta da barriere parallele un bagnante corre i rischi maggiori?,Vicino alla riva,Vicino al centro della barriera,Vicino ai varchi,Sulla spiaggia,C
24,Mare,Quali strutture artificiali producono generalmente le correnti più impetuose in caso di mare mosso?,Pennelli,Barriere suffolte,Vasca semiaperta,Vasca semichiusa,D
25,Mare,Quale è la misura di intervento più efficace in una vasca semichiusa con mare mosso o agitato?,La prevenzione,L’utilizzo di un pattino,L’utilizzo del baywatch,In qualità di bagnino stazionare in acqua e non sulla riva,A
26,Meteorologia,Cosa sono le isobare?,Linee che uniscono punti a uguale profondità in acqua,Linee che uniscono punti a uguale pressione atmosferica,Linee che uniscono punti del fronte freddo,Linee che uniscono punti del fronte caldo,B
27,Meteorologia,Per via della rotazione della Terra come girano i venti nell’emisfero Nord?,In senso antiorario intorno a una zona di bassa pressione,In senso orario intorno a una zona di bassa pressione,In senso antiorario intorno a una zona di alta pressione,Sia la risposta “B” che la “C” sono esatte ma non la “A”,D
28,Meteorologia,A cosa serve la legge di Buys Ballot?,A misurare la variazione di pressione,A individuare la direzione di provenienza del vento,A individuare la posizione approssimata delle zone di bassa pressione e di alta pressione,A calcolare l’orario delle maree,C
29,Meteorologia,Quale fra le seguenti affermazioni in merito alla brezza diurna è vera?,Soffia dal mare verso terra ed è più intensa di quella notturna,Soffia dal mare verso terra ed è meno intensa di quella notturna,Soffia da terra verso il mare ed è più intensa di quella notturna,Soffia da terra verso il mare ed è meno intensa di quella notturna,A
30,Meteorologia,Cosa significa che un fronte è “occluso”?,Che è fermo su un posto e non si muove,Che la sua temperatura è minore di quella ambiente,Che la sua temperatura è maggiore di quella ambiente,"Che è formato dall’unione di un fronte freddo e di uno caldo, quindi porta pessime condizioni meteorologiche",D
31,Salvataggio,Quale è l’attività base del lavoro di un bagnino?,Vantarsi con i bagnanti,Effettuare soccorsi in mare,Sorvegliare i bagnanti,Intervenire direttamente per sostenere le funzioni vitali di una vittima,D
32,Salvataggio,"Generalmente quale è la zona più pericolosa, nella quale si deve soffermare maggiormente l’attenzione del bagnino a mare calmo?",La zona del bagno,La zona dei nuotatori,La zona di confine,La zona oltre le boe,A
33,Salvataggio,Quale è il migliore metodo per effettuare lo scanning?,Saltare con lo sguardo da bagnante a bagnante a caso,Procedere da lato a lato,Procedere in circolo,"Dipende dalle abitudini di lavoro del bagnino, dalle caratteristiche del fondale e dall’affluenza dei bagnanti",D
34,Salvataggio,Con mare mosso dove si concentrare l’attenzione del bagnino?,Sui punti di entrata e uscita,Sui punti più pericolosi,Sui bagnanti non nuotatori,Sui bagnanti nuotatori,B
35,Salvataggio,Quale azione fra le seguenti è appropriata per un bagnino che deve fischiare a un bagnante?,Fischiare molto forte,Camminare sulla battigia fino a essere sulla perpendicolare al bagnante,Evidenziarsi rispetto al resto dei bagnanti,Tutte le precedenti sono azioni appropriate,D
36,Salvataggio,Quale è una delle abilità professionali più tipiche del bagnino?,Nuotare molto velocemente,Riconoscere una vittima che sta annegando,Mantenere buone relazioni sociali con i clienti,Assegnare lettini e ombrelloni a chi li chiede,B
37,Salvataggio,Dove avviene la maggior parte degli annegamenti di non nuotatori?,Sulla battigia,Al largo,A brevissima distanza dalla linea di sicurezza,Ovunque,C
38,Salvataggio,Quale è la tipologia di annegamento più frequente?,Annegamento di nuotatori,Annegamento improvviso,Annegamento di non nuotatori,Non c’è una tipologia predominante,C
39,Salvataggio,Quale è la tipologia di annegamento che più frequentemente richiede un salvataggio?,Annegamento di nuotatori,Annegamento improvviso,Annegamento di non nuotatori,Non c’è una tipologia predominante,C
40,Salvataggio,Quale fra le seguenti situazioni ha maggiore necessità di un intervento tempestivo e veloce?,Annegamento di non nuotatore,Annegamento improvviso,Vittima di sommersione,Nuotatore che si agita in superficie,A
41,Medico,Quando si può muovere un potenziale traumatizzato alla spina dorsale?,Quando fa comodo,Quando la lesione alla spina dorsale è solo sospetta e non accertata,Quando la vittima è in imminente pericolo di vita se resta nella posizione in cui si trova,Mai,C
42,Medico,Quali sono le attrezzature indispensabili per un intervento su potenziale traumatizzato alla spina dorsale?,Tavola spinale,Collare cervicale,Cuscinetti di gomma gonfiabili,"Sia “A” che “B” sono indispensabili, ma non C",D
43,Medico,Quale è la regola più importante in caso di intervento su potenziale traumatizzato alla spina dorsale che non sia in imminente pericolo di vita?,Rimuoverlo subito dall’acqua,Fargli assumere una posizione comoda,Agire con calma per evitare di fare danni,Aspettare che le sue condizioni peggiorino prima di chiamare il Servizio di Emergenza Sanitaria,C
44,Medico,Quale è lo scopo della “morsa”?,Tenere il capo e il collo allineati per mezzo delle braccia stesse del traumatizzato,Chiudere le orecchie del traumatizzato per evitare l’ingresso di acqua all’interno,Permette di afferrarlo con forza sotto le ascelle per rimuoverlo dall’acqua,Bloccare le gambe del traumatizzato durante la rimozione dall’acqua,A
45,Medico,Quale scopo ha il leggero scivolamento in avanti cui è sottoposto un traumatizzato durante la manovra della rotazione?,Avvicinare l’infortunato il più possibile al bordo vasca,Non perdere tempo sul posto,Tenere le gambe dell’infortunato allineate con il suo corpo,Aiutare a prevenire l’ingresso di acqua nei polmoni,C
46,Salvataggio,Quale è il numero ideale di componenti di una squadra di intervento?,Un solo bagnino,Due bagnini,Tre bagnini,Tutti i bagnini presenti debbono entrare in acqua e intervenire,B
47,Salvataggio,Quale tecnica si usa per entrare in acqua da una spiaggia se il pericolante è ancora in superficie?,Si entra planando in acqua,Ci si tuffa di testa,Si effettua un tuffo frenato con entrata di piedi,Ci si cala in acqua proteggendo il corpo con le braccia,A
48,Salvataggio,Quale è il compito dei “bagnini di riserva”?,Tenersi pronti a intervenire in caso di insuccesso dei bagnini impegnati nel soccorso,Impedire ad altri bagnanti di entrare nel campo di operazioni,Estendere la loro zona di sorveglianza a quella lasciata scoperta dai bagnini impegnati nel salvataggio,Tutti i precedenti sono compiti – insieme ad altri ancora - che devono essere eseguiti dai bagnini di riserva,D
49,Salvataggio,Quale fra le seguenti è una buona modalità di avvicinamento al pericolante in difficoltà?,Tuffarsi subito in acqua e dirigersi diagonalmente fino a raggiungere il pericolante,Spostarsi a piedi per ridurre al minimo la distanza in mare e nuotare molto lentamente per conservare energie sufficienti per il resto dell’intervento,Spostarsi di corsa per ridurre al minimo la distanza in mare e nuotare velocemente ma conservando energie sufficienti per il resto dell’intervento,Spostarsi di corsa per ridurre al minimo la distanza in mare e nuotare quanto più velocemente si sappia fare per arrivare subito dal pericolante,C
50,Salvataggio,Quale fra le seguenti azioni del soccorritore è più efficace per liberarsi da un pericolante che lo ha afferrato?,Lasciarsi scivolare sott’acqua,Tramortire il pericolante con un pugno ben assestato,Bloccarlo con una presa tipo “lotta”,Infilargli due dita negli occhi,A
51,Salvataggio,Quali conseguenze comporta l’indicazione che «il baywatch è una dotazione personale del soccorritore»?,Che un determinato baywatch è sempre usato dallo stesso bagnino,Che se il soccorritore in servizio si allontana dalla propria postazione lo deve portare con sè,Che è il bagnino ad acquistarlo con i propri soldi,Tutte le risposte precedenti sono esatte,B
52,Salvataggio,In quale momento dell’intervento di salvataggio si abbandona il baywatch o il siluro per trascinarlo dietro di sé?,Sulla spiaggia prima di entrare in acqua,Appena si inizia a nuotare,Appena si nuota senza più avere ostacoli di fronte,Quando si arriva vicino al pericolante,B
53,Salvataggio,Essendo obbligati ad attuare una “tattica di attesa” quale fra le seguenti attrezzature è più utile?,Un siluro di salvataggio per acque aperte,Un baywatch,Il rullo,"Nessuna, è più comodo intervenire “a mani nude”",A
54,Salvataggio,Quale fra i seguenti è un vantaggio offerto dalle pinne da salvamento?,Permettono una velocità di nuoto maggiore,Permettono di raggiungere il pericolante con sforzi minori,Permettono di rendere molto veloce l’esecuzione di un salvataggio a breve distanza da riva (meno di 10 metri),Tutte le risposte precedenti sono esatte,B
55,Salvataggio,Dove bisogna indirizzare il salvagente quando si lancia verso un pericolante?,"Fra il soccorritore e il pericolante, sulla direzione che li congiunge",Proprio sopra il pericolante,"Oltre il pericolante, sulla direzione congiungente il soccorritore e il pericolante",Almeno 10 metri a lato del pericolante,C
56,Salvataggio,Come si posiziona correttamente un pattino?,Posizionandolo al massimo entro 5 metri dalla battigia,Posizionandolo nel più probabile punto di partenza di un salvataggio,Posizionandolo in modo che non dia fastidio alle persone che passeggiano sulla battigia o che si distendono sulla spiaggia,Sia la risposta “A” che la “B” indicano posizionamenti esatti,A
57,Salvataggio,Come deve essere distribuito il peso dei soccorritori durante l’avvicinamento in pattino?,Rispettando il centro di gravità del mezzo (cioè in modo equilibrato),Spostando il peso a prua (cioè appruando il pattino),Spostando il peso a poppa (cioè appoppando il pattino),Spostando tutto il peso su uno dei due lati,A
58,Salvataggio,Cosa bisogna fare sentendo l’ordine “agguanta!”?,Indossare guanti adatti al recupero del pericolante,Tuffarsi in mare per agguantare il pericolante,Frenare l’abbrivio del pattino piantando i remi in acqua,Prendere il pericolante “al volo” per poi tirarlo a bordo con comodo,C
59,Salvataggio,Come deve essere distribuito il peso a bordo del pattino durante un rientro con mare mosso e frangenti?,Rispettando il centro di gravità del mezzo (cioè in modo equilibrato),Spostando il peso verso mare,Spostando il peso verso terra,Spostando tutto il peso su uno dei due lati,B
60,Salvataggio,"Rispetto ai frangenti, come deve essere la rotta di rientro di un pattino in mare mosso?",Li taglia a 45°,Perfettamente perpendicolare,A traverso,"Non ha alcuna importanza, il pattino è un mezzo molto stabile",B
61,Salvataggio,Quali sono le caratteristiche importanti dei nodi marinari?,Sono facili a farsi,Sono facili a disfarsi,Non si sciolgono sotto sforzo,Tutte le precedenti sono caratteristiche importanti dei nodi marinari,D
62,Salvataggio,"Quale è il “re dei nodi”, che permette di cavarsela egregiamente in ogni situazione?",Nodo semplice,Nodo piano,Gassa d’Amante,Nodo margherita,C
63,Salvataggio,Quale fra i seguenti nodi si può utilizzare per unire due cime dello stesso diametro?,Nodo semplice,Nodo piano,Nodo parlato,Nodo margherita,B
64,Salvataggio,Quale fra i seguenti nodi si può utilizzare per unire due cime di diverso diametro?,Nodo semplice,Nodo piano,Nodo parlato,Nodo margherita,D
65,Salvataggio,Quale fra i seguenti nodi è molto efficace per collegare una cima a un elemento cilindrico?,Nodo semplice,Nodo piano,Nodo parlato,Nodo margherita,A
66,Legge,Quali sono i compiti primari dei bagnini?,Sorvegliare il proprio specchio acqueo e prevenire le situazioni a rischio,Soccorrere i bagnanti in acqua e sulla spiaggia,Vigilare per il rispetto dell’ordinanza balneare locale,Tutte le precedenti risposte indicano compiti primari dei bagnini,D
67,Legge,Può un datore di lavoro chiedere a un bagnino di pulire l’arenile dello stabilimento?,"Si, in qualsiasi momento","Si, ma solo quando il bagnino non è in servizio di salvataggio","Si, ma solo se gli offre anche una mancia","No, non è un compito che spetta al bagnino",B
68,Legge,Quale tipo di colpa ha un bagnino che non interviene con il pattino perché non sa remare?,Negligenza,Imprudenza,Imperizia,"Inosservanza di leggi, regolamenti, ordini o discipline",C
69,Legge,Quale tipo di colpa ha un bagnino che in condizioni di mare difficili interviene “a mani nude” senza alcun mezzo di supporto e senza richiedere l’assistenza dei colleghi limitrofi?,Negligenza,Imprudenza,Imperizia,"Inosservanza di leggi, regolamenti, ordini o discipline",B
70,Legge,Quale tipo di colpa ha un bagnino che in un controllo di polizia viene trovato sprovvisto delle dotazioni obbligatorie richieste dall’ordinanza balneare locale?,Nessuna perché la colpa è solo della Direzione dello stabilimento,Nessuna se dimostra che non sapeva che erano obbligatorie,Negligenza,"Inosservanza di leggi, regolamenti, ordini o discipline",D
71,Legge,Quale è il riferimento normativo di base per un bagnino?,Le ordinanze della Capitaneria di porto.,Le ordinanze del Comune.,Le ordinanze della Regione.,Tutte le precedenti risposte indicano riferimenti normativi di base per i bagnini.,D
72,Legge,Quando cambiano in genere le ordinanze balneari?,Ogni tre mesi.,Ogni anno all’inizio della stagione balneare.,Ogni anno al termine della stagione balneare.,Ogni 5/10 anni.,B
73,Legge,Quale comportamento deve assumere un bagnino verso un cliente dello stabilimento che si rifiuta di adempiere a quanto previsto da un’ordinanza?,"Non può fare nulla, deve solo pregare gli altri clienti di avere pazienza.",Deve buttarlo fuori dello stabilimento.,Deve avvisare le autorità competenti o la direzione dello stabilimento.,Deve identificare il cliente e denunciarlo alla Polizia.,C
74,Legge,Chi è responsabile del servizio di salvataggio sulle spiagge libere?,Il Comune.,La Capitaneria di porto.,La Regione.,Lo Stato.,A
75,Legge,Quale tipo di sorveglianza si attua quando più concessionari si consorziano fra loro per offrire un unico servizio di sorveglianza con singole postazioni di salvataggio dislocate entro la distanza massima prevista dalle ordinanze?,Sorveglianza bagno per bagno (o lido per lido).,Sorveglianza per settori.,Sorveglianza per isole.,Sorveglianza mediante un piano collettivo.,D
76,Piscine,Perché una piscina dovrebbe essere il luogo più sicuro per fare il bagno?,Non vi sono i rischi legati caratteristicamente a un ambiente esposto a forze naturali.,Si presta a essere sorvegliata facilmente anche con un numero esiguo di bagnini.,L’acqua chiarissima permette di controllare integralmente il fondo.,Tutte le precedenti risposte indicano caratteristiche che rendono la piscina un ambiente sicuro.,D
77,Piscine,Quale è il più frequente veicolo di diffusione delle infezioni in piscina?,L’inquinamento dell’acqua con cui è riempita.,Gli utenti che la frequentano.,L’aria viziata dell’ambiente chiuso.,I diversi galleggianti utilizzati per le attività acquatiche.,B
78,Piscine,Cosa significa che in genere la causa di un annegamento in piscina è dovuta a un difetto del sistema di sicurezza?,"Che una buona organizzazione, in osservanza della legge, escluderebbe in pratica questo rischio.",Che i bagnini in piscina sono sempre molto esperti.,Che in piscina bisognerebbe fare entrare solo chi già nuota bene.,Che in piscina non vi sono pericoli di carattere naturale.,D
79,Piscine,Nell’orario in cui una piscina all’aperto non è operativa cosa è necessario fare?,Avvisare il pubblico che non c’è più il servizio di sorveglianza.,Mettere un cartello a bordo vasca.,Chiudere a chiave i cancelli di accesso dopo essersi assicurati che non ci sia più nessuno in vasca e sul bordo vasca.,Esporre un cartello fuori che indichi che la piscina non è accessibile.,C
80,Piscine,"Quale fra le seguenti attività è generalmente permessa durante le ore del “nuoto libero”, cioè aperto al pubblico?",Il nuoto in qualunque stile.,Le corse sul bordo vasca.,I giochi scatenati in acqua.,I tuffi.,A
81,Piscine,Cosa si intende per “trattamento dell’acqua” di una piscina?,"Una depurazione dell’acqua fatta solo per via meccanica, detta “filtrazione”.","Una depurazione dell’acqua fatta solo per via chimica, detta “disinfezione”.","Una depurazione dell’acqua fatta per via meccanica, detta “filtrazione”, e per via chimica, detta “disinfezione”.","Una depurazione dell’acqua fatta per via meccanica, in questo caso detta “filtrazione”, o in alternativa per via chimica, in questo caso detta “disinfezione”.",C
82,Piscine,"Come sono chiamati i cicli di trattamento completi di tutta l’acqua di una piscina, che avvengono più volte al giorno?",Filtrazioni.,Ricircoli.,Tempi di esposizione.,Tempi di contatto.,B
83,Piscine,Quale è lo scopo del “flocculante”?,"Filtrare l’acqua, visto che è disposto a strati nei filtri.",Disinfettare l’acqua.,Rendere l’acqua meno acida.,"Coagulare le particelle organiche presenti nell’acqua ingrossandole, in modo che i filtri le trattengano più efficacemente.",D
84,Piscine,Quale è l’importante caratteristica dell’acqua della piscina di cui bisogna tenere conto nella gestione?,Il pH.,La durezza.,La torbidità.,"Tutte le precedenti risposte indicano caratteristiche importanti dell’acqua di una piscina, delle quali bisogna tenere conto nella gestione.",D
85,Piscine,Quale fra i seguenti composti non è un disinfettante utilizzato nelle piscine?,Ortotolidina.,Ozono.,Cloro liquido.,Cloroderivati in polvere.,A
86,Piscine,Cosa si intende per piscina “polifunzionale”?,Una piscina in cui la disinfezione dell’acqua è fatta con polielettrolita.,Una piscina condominiale che serve più di quattro unità abitative.,"Una piscina adibita, anche parzialmente, a più attività diverse.",Una piscina necessaria per una metropoli.,C
87,Piscine,Chi è che deve redigere il documento di valutazione del rischio per la piscina?,Il responsabile della piscina.,Il bagnino di salvataggio.,L’addetto agli impianti.,Il tecnico della ASL.,A
88,Piscine,Quali sono i fattori gestionali capaci di limitare o ridurre drasticamente le capacità di attenzione dei bagnini?,Il ridotto numero degli addetti al servizio di salvataggio.,Una grande densità di affollamento.,La disomogenea illuminazione dell’impianto.,Tutte le risposte precedenti indicano fattori in grado di limitare le capacità attentive dei bagnini.,D
89,Piscine,Quale è la massima densità di affollamento permessa dal D.M. 18 marzo 1996?,Non c’è alcuna indicazione nel decreto.,1 metro quadrato di specchio d’acqua per ogni bagnante.,2 metri quadrati di specchio d’acqua per ogni bagnante.,4 metri quadrati di specchio d’acqua per ogni bagnante.,C
90,Piscine,Cosa è una “zona cieca” di una piscina?,Il lato che da verso un muro in una piscina all’aperto.,Una zona di visibilità scarsa causata dai riflessi di luce in una piscina illuminata artificialmente.,"La zona vicina alla bocca di aspirazione dell’impianto filtrante, dove è maggiore la sospensione.",Una parte di vasca riservata a scopi diversi dal resto della piscina.,B
91,BLS,Quale è la frequenza respiratoria normale in un adulto a riposo?,8-10 respirazioni al minuto.,12-16 respirazioni al minuto.,24-30 respirazioni al minuto.,70-80 respirazioni al minuto.,B
92,BLS,Quale fra i seguenti segni indica un sospetto arresto respiratorio?,Respirazione rantolante.,Colorito cutaneo bluastro.,Mancanza di suoni respiratori.,"Movimenti toracici assenti, minimi o non uniformi.",D
93,BLS,Come si mantiene la pervietà delle vie respiratorie in un adulto?,Con l’iperestensione della testa.,Con la protrusione della mandibola.,Guardando periodicamente dentro la bocca dell’infortunato.,"Sia la riposta “A” che la “B” sono esatte, ma non la “C”.",D
94,BLS,Quale fra i seguenti elementi sono necessari affinché la tecnica della respirazione bocca-bocca sia efficace?,Una perfetta aderenza della bocca del soccorritore a quella dell’infortunato.,La pervietà delle vie respiratorie.,Chiudere completamente il naso dell’infortunato durante l’insufflazione dell’aria.,Tutte le precedenti risposte sono esatte.,D
95,BLS,A quale delle seguenti tipologie di persone può essere applicata efficacemente una manovra di Heimlich?,Un bambino.,Un adulto obeso.,Una donna in gravidanza.,Un lattante.,A
96,BLS,Quali sono le frequenze cardiache che in un adulto indicano la necessità di assistenza dei soccorsi avanzati (Servizio di Emergenza Sanitaria)?,Fra 60 e 80 battiti al minuto.,Meno di 60 e più di 80 battiti al minuto.,Più di 100 battiti al minuto (tachicardia).,Meno di 50 e più di 120 battiti al minuto.,D
97,BLS,Per quale tipologia di infortunati si utilizza il polso brachiale al posto del carotideo?,Lattanti.,Bambini.,Adulti in genere.,Adulti maschi.,A
98,BLS,Entro quanto tempo bisognerebbe rilevare la presenza del polso di un infortunato in potenziale arresto circolatorio?,1-2 secondi.,10 secondi.,30 secondi.,"Non c’è limite di tempo, si può agire con calma.",B
99,BLS,In quale posizione bisogna porre l’infortunato per praticare il massaggio cardiaco?,"Supino su una superficie morbida (letto, ecc.).","Supino su una superficie rigida (pavimento, spiaggia, ecc.).","Prono su una superficie rigida (pavimento, spiaggia, ecc.).",In posizione laterale di sicurezza.,B
100,BLS,Quale ritmo di compressioni bisogna tenere nella pratica del massaggio cardiaco su un adulto?,30 al minuto.,60-80 al minuto.,100 al minuto.,200 al minuto.,C
101,BLS,Quale è la prima azione da svolgere in ogni azione di soccorso?,Accertare la risposta dell’infortunato agli stimoli.,Chiamare il Servizio di Emergenza Sanitaria.,Controllare la sicurezza della scena.,Verificare la respirazione.,C
102,BLS,In quale posizione bisogna porre l’infortunato per praticare le tecniche di rianimazione?,Prono su una superficie morbida.,"Supino su una superficie rigida, con gli arti a 90 ° rispetto al corpo.","Supino su una superficie rigida, con gli arti allineati al corpo.",In posizione laterale di sicurezza.,C
103,BLS,"Quale è il numero di compressioni e ventilazioni che compongono un ciclo di tecniche di rianimazione su un infortunato adulto, assistito da un solo soccorritore?",30 compressioni e 2 ventilazioni.,30 ventilazioni e 2 compressioni.,15 compressioni e 2 ventilazioni.,15 ventilazioni e 2 compressioni.,A
104,BLS,Quale fra le seguenti azioni va intrapresa se l’infortunato presenta una respirazione caratterizzata dall’assenza di movimento toracico e rumore respiratorio russante?,"Praticare il massaggio cardiaco, senza ventilazione artificiale.","Praticare la ventilazione artificiale, senza massaggio cardiaco.",Porre l’infortunato in posizione di sicurezza.,Praticare il massaggio cardiaco e la ventilazione artificiale.,D
105,BLS,"Nel caso di presenza di due soccorritori, quando questi debbono scambiarsi di ruolo (massaggio cardiaco e ventilazione)?",Ogni 5 cicli completi.,Ogni 2 minuti.,Quando quello che fa il massaggio cardiaco è esausto.,Tutte le risposte precedenti sono esatte.,D
106,BLS,Quale è la lunghezza giusta di una cannula orofaringea?,10 centimetri.,La distanza che intercorre fra la bocca dell’infortunato e la parte inferiore del lobo del suo orecchio.,"Ne esistono di tre sole misure: lattanti, bambini e adulti.","Non è importante la misura, si può usare qualunque cannula.",B
107,BLS,Su quale tipologia di infortunati la cannula orofaringea va inserita sottosopra (con la concavità verso il naso dell’infortunato) per poi girarla di 180° una volta che ha raggiunto la sua posizione?,Lattanti.,Bambini.,Adulti.,Tutte le risposte precedenti sono esatte.,D
108,BLS,Quale comportamento bisogna adottare se si incontra resistenza comprimendo il pallone auto espandibile?,Premere più forte per aumentare la pressione di insufflazione.,Verificare che il capo dell’infortunato sia iper-esteso.,Verificare che l’infortunato non abbia rigurgitato liquidi.,"Sia la riposta “B” che la “C” sono corrette, ma non la “A”.",D
109,BLS,Perché non bisogna permettere a nessuno di fumare mentre è in corso l’ossigenoterapia?,Perché vi è un forte rischio di esplosione o incendio.,Perché il fumo prodotto fa funzionare male gli apparecchi elettronici di erogazione ossigeno.,Perché il fumo prodotto dalla sigaretta è nocivo.,Perché il fumo prodotto interferisce con la diagnosi dell’AED.,A
110,BLS,Durante quale delle seguenti fasi di utilizzo del defibrillatore semiautomatico esterno è possibile toccare l’infortunato?,L’applicazione degli elettrodi.,L’analisi del ritmo cardiaco dell’infortunato.,L’esecuzione della scarica.,Non si può mai toccare l’infortunato.,A
111,BLS,Quali sono le caratteristiche del fenomeno degli annegamenti in Italia?,"Bassa incidenza, bassa letalità.","Bassa incidenza, alta letalità.","Alta incidenza, bassa letalità.","Alta incidenza, alta letalità.",B
